CustomerID,Gender,SeniorCitizen,Age,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,Churn
CUST-13308,Female,0,44,Yes,No,11,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Mailed Check,60.58,631.25,3,No
CUST-15939,Female,0,39,No,No,26,Yes,No,DSL,No,No,No,No,No,No,Two Year,No,Mailed Check,46.22,1159.56,4,No
CUST-11410,Female,1,67,No,No,33,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Transfer,70.89,2277.25,2,No
CUST-13458,Male,0,55,Yes,No,15,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two Year,Yes,Mailed Check,73.96,1069.47,2,Yes
CUST-13194,Female,0,36,Yes,Yes,25,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Mailed Check,77.89,1927.69,3,No
CUST-14039,Female,0,46,Yes,No,51,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Transfer,27.57,1393.62,2,No
CUST-11536,Female,0,43,No,No,56,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,One Year,Yes,Electronic Check,74.95,3987.18,2,No
CUST-12131,Female,1,84,No,No,31,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,One Year,Yes,Electronic Check,93.77,2843.25,3,No
CUST-10132,Female,0,30,Yes,No,42,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,21.09,876.21,6,No
CUST-13492,Female,0,27,Yes,Yes,37,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,52.49,1889.5,3,Yes
CUST-11860,Female,0,56,Yes,No,39,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,28.18,1032.84,2,No
CUST-10937,Male,0,40,No,Yes,33,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Transfer,26.12,834.99,1,No
CUST-14539,Male,0,31,No,No,33,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,25.9,832.51,6,Yes
CUST-11670,Male,0,22,Yes,No,55,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,28.81,1525.64,2,No
CUST-14099,Female,0,48,No,No,27,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-Month,No,Electronic Check,48.59,1297.87,1,No
CUST-14652,Male,1,83,Yes,Yes,28,Yes,No,DSL,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,44.31,1211.24,2,No
CUST-15113,Female,1,74,No,No,21,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Transfer,64.47,1334.95,4,Yes
CUST-16261,Male,0,34,No,No,7,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two Year,No,Bank Transfer,59.89,409.77,1,No
CUST-10263,Male,0,27,Yes,No,6,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,20.41,124.31,3,Yes
CUST-14667,Male,0,35,Yes,No,32,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Credit Card,81.42,2555.01,1,No
CUST-17038,Female,0,53,Yes,No,28,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,61.99,1706.52,2,Yes
CUST-16459,Female,0,23,No,Yes,72,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,No,Mailed Check,79.14,5420.96,3,No
CUST-13621,Male,0,54,Yes,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,46.71,696.24,2,No
CUST-16948,Female,0,52,Yes,No,72,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,No,Electronic Check,85.61,5957.83,1,No
CUST-12699,Female,0,25,Yes,No,71,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two Year,Yes,Mailed Check,53.15,3599.95,2,No
CUST-16644,Female,0,23,Yes,Yes,43,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Bank Transfer,80.2,3420.52,3,No
CUST-16177,Male,0,54,No,No,9,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Bank Transfer,83.79,757.17,2,Yes
CUST-10496,Male,0,31,Yes,Yes,25,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Mailed Check,19.44,478.71,0,No
CUST-11965,Male,0,36,Yes,No,20,No,No Phone Service,DSL,No,Yes,Yes,No,No,No,One Year,No,Electronic Check,52.36,1042.4,0,No
CUST-11108,Female,0,52,Yes,Yes,18,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Electronic Check,65.31,1138.45,1,No
