CustomerID,Gender,SeniorCitizen,Age,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,Churn,AvgChargePerTenure,IsNewCustomer,HighSupportCalls,TotalAddonServices,ChargeVsTierAvg,IsMonthToMonth
CUST-13308,0,0,44,1,0,11,1,No,DSL,Yes,Yes,No,Yes,Yes,No,One Year,1,Mailed Check,60.58,631.25,3.0,No,57.38636363636363,0,0,4,-0.7235326547922014,0
CUST-15939,0,0,39,0,0,26,1,No,DSL,No,No,No,No,No,No,Two Year,0,Mailed Check,46.22,1159.56,4.0,No,44.598461538461535,0,1,0,-15.0835326547922,0
CUST-11410,0,1,67,0,0,33,1,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-Month,1,Bank Transfer,70.89,2277.25,2.0,No,69.00757575757575,0,0,3,9.5864673452078,1
CUST-13458,1,0,55,1,0,15,1,Yes,DSL,Yes,No,No,No,Yes,Yes,Two Year,1,Mailed Check,73.96,1069.47,2.0,Yes,71.298,0,0,3,12.656467345207794,0
CUST-13194,0,0,36,1,1,25,1,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-Month,0,Mailed Check,77.89,1927.69,3.0,No,77.1076,0,0,4,16.5864673452078,1
CUST-14039,0,0,46,1,0,51,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Bank Transfer,27.57,1393.62,2.0,No,27.325882352941175,0,0,0,4.8233886407147395,1
CUST-11536,0,0,43,0,0,56,1,No,Fiber Optic,No,Yes,Yes,No,No,No,One Year,1,Electronic Check,74.95,3987.18,2.0,No,71.19964285714285,0,0,2,-7.057610647851192,0
CUST-12131,0,1,84,0,0,31,1,Yes,Fiber Optic,Yes,No,No,No,No,Yes,One Year,1,Electronic Check,93.77,2843.25,3.0,No,91.71774193548387,0,0,2,11.762389352148801,0
CUST-10132,0,0,30,1,0,42,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Credit Card,21.09,876.21,6.0,No,20.862142857142857,0,1,0,-1.656611359285261,1
CUST-13492,0,0,27,1,1,37,1,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-Month,0,Credit Card,52.49,1889.5,3.0,Yes,51.067567567567565,0,0,2,-8.813532654792198,1
CUST-11860,0,0,56,1,0,39,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,0,Credit Card,28.18,1032.84,2.0,No,26.483076923076922,0,0,0,5.433388640714739,0
CUST-10937,1,0,40,0,1,33,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,0,Bank Transfer,26.12,834.99,1.0,No,25.302727272727275,0,0,0,3.37338864071474,0
CUST-14539,1,0,31,0,0,33,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,1,Credit Card,25.9,832.51,6.0,Yes,25.227575757575757,0,1,0,3.153388640714738,1
CUST-11670,1,0,22,1,0,55,1,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,0,Electronic Check,28.81,1525.64,2.0,No,27.738909090909093,0,0,0,6.063388640714738,1
CUST-14099,0,0,48,0,0,27,1,No,DSL,No,Yes,No,No,No,Yes,Month-to-Month,0,Electronic Check,48.59,1297.87,1.0,No,48.069259259259255,0,0,2,-12.713532654792196,1
CUST-14652,1,1,83,1,1,28,1,No,DSL,No,No,No,No,No,No,Month-to-Month,0,Mailed Check,44.31,1211.24,2.0,No,43.25857142857143,0,0,0,-16.993532654792197,1
CUST-15113,0,1,74,0,0,21,1,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-Month,1,Bank Transfer,64.47,1334.95,4.0,Yes,63.56904761904762,0,1,2,3.166467345207799,1
CUST-16261,1,0,34,0,0,7,1,Yes,DSL,No,No,Yes,No,No,Yes,Two Year,0,Bank Transfer,59.89,409.77,1.0,No,58.53857142857142,0,0,2,-1.4135326547921991,0
CUST-10263,1,0,27,1,0,6,1,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,1,Electronic Check,20.41,124.31,3.0,Yes,20.718333333333334,1,0,0,-2.3366113592852606,0
CUST-14667,1,0,35,1,0,32,1,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Month-to-Month,1,Credit Card,81.42,2555.01,1.0,No,79.8440625,0,0,4,-0.5876106478511929,1
